iso_alpha_3,year,ef_frst_sequestration_young_secondary_kt_co2_ha
CZE,2018,0.007327383935829497
CZE,2019,0.007327383935829497
DEU,2015,0.007327383935829497
DEU,2016,0.007327383935829499
DEU,2017,0.007327383935829497
DEU,2018,0.007327383935829499
DEU,2019,0.007327383935829498
DJI,2015,0.0019461420117634447
DJI,2016,0.0019461420117634447
DJI,2017,0.0019461420117634447
DJI,2018,0.0019461420117634447
DJI,2019,0.0019461420117634447
DMA,2015,0.005483544746054098
DMA,2016,0.005483544746054098
DMA,2017,0.005483544746054098
DMA,2018,0.005483544746054098
DMA,2019,0.005483544746054098
DNK,2015,0.007327383935829497
DNK,2016,0.007327383935829498
DNK,2017,0.007327383935829496
DNK,2018,0.007327383935829498
DNK,2019,0.007327383935829498
DOM,2015,0.0056726014954543635
DOM,2016,0.005673577916371727
DOM,2017,0.005672997970960217
DOM,2018,0.00567296749350629
DOM,2019,0.005672874783577041
DZA,2015,0.0022975957251259982
DZA,2016,0.0022965463545674227
DZA,2017,0.002279505702977483
DZA,2018,0.0022757212200836263
DZA,2019,0.0022734785175812593
ECU,2015,0.00517462659539287
ECU,2016,0.005174556759784801
ECU,2017,0.005174290384593068
ECU,2018,0.005174206234607129
ECU,2019,0.005173922647716945
EGY,2015,0.0012090280653153994
EGY,2016,0.0012090280653153994
EGY,2017,0.0012090280653153994
EGY,2018,0.0012090280653153994
EGY,2019,0.0012090280653153994
ERI,2015,0.0035239614087054227
ERI,2016,0.0035239614087054227
ERI,2017,0.003523961408705423
ERI,2018,0.0035239614087054227
ERI,2019,0.003523961408705423
ESP,2015,0.004937509364045944
ESP,2016,0.00493330636558532
ESP,2017,0.004917046907326179
ESP,2018,0.0049071777636384515
ESP,2019,0.0048962565096490164
EST,2015,0.0012
EST,2016,0.0012
EST,2017,0.0012
EST,2018,0.0012
EST,2019,0.0012
ETH,2015,0.005014392661190512
ETH,2016,0.005015720619157037
ETH,2017,0.005016055544916204
ETH,2018,0.005014024850558426
ETH,2019,0.005013201452209993
FIN,2015,0.001245091670301955
FIN,2016,0.0012452195749834863
FIN,2017,0.001245379584930456
FIN,2018,0.001245401562856169
FIN,2019,0.0012455059833863442
FJI,2015,0.005699999999999999
FJI,2016,0.005699999999999999
FJI,2017,0.005699999999999999
